customer_id,latitude,longitude,frequency_of_purchases,avg_purchase_value,num_products_purchased
1,-22.58277860747475,-45.48930535198855,22,378.29231673451017,11
2,81.12857515378491,-60.151645356694814,2,869.4344174912457,9
3,41.75890952605292,-116.58459149897038,4,736.9304025371077,16
4,17.758527155466595,38.61600123653565,45,31.463211550292144,15
5,-61.916644720361425,-8.415302216893593,13,690.019428717642,5
6,-61.92098633948352,131.6523572366413,32,200.42894800503265,15
7,-79.5449498097241,-168.44055102645902,22,428.35674301687294,1
8,65.91170623948832,51.792453919845485,25,628.4878501017331,15
9,18.20070211377758,94.66159626416203,27,873.9906628827359,4
10,37.45306400328819,93.41516490779054,17,461.53690950801985,16
11,-86.29479102675556,138.98662815438905,6,810.4055496492231,7
12,84.58377338915898,82.45214741861787,43,785.1360061726265,8
13,59.839675344075914,154.0116221931707,16,420.3931277227457,2
14,-51.77896007791029,-60.24362406447908,8,505.97036179857383,12
15,-57.27150590272189,1.155390030555509,33,703.480159949315,2
16,-56.98718822638191,-174.93132121815935,10,40.83695030047033,14
17,-35.23639626728321,-177.49526857081517,34,891.9032996612535,19
18,4.456157693802808,-93.55441663745285,19,772.1179978433165,6
19,-12.249896644419167,-143.7094090299293,14,256.9217225883071,19
20,-37.57875476435245,-86.3239075431287,3,981.3681536570858,17
21,20.133521050028307,-116.26441396977694,41,187.5964490637226,3
22,-64.89110508263246,-169.73279105808663,23,914.9458069673577,10
23,-37.41396326366073,147.34949270617778,40,331.22872373988,13
24,-24.0548682071355,-177.03967269999904,11,765.5152430624945,18
25,-7.907402840933528,84.98957196135075,47,461.81282731546565,19
26,51.33167305074244,-125.22676070897404,6,739.1027135755022,17
27,-54.058719211495244,148.40266391985602,34,164.22521745997258,8
28,2.562198914450093,141.40653825235887,1,276.81139380261794,18
29,16.63462239516764,55.40441269293265,35,108.85924622730536,7
30,-81.63892571040041,62.00429392821786,25,866.4925416234252,11
31,19.358073342258905,-178.0779088909121,29,303.3300578918043,3
32,-59.30565773628753,174.55376380089672,23,697.5314671224968,2
33,-78.29071326264969,136.0197372872932,18,822.0189857641128,19
34,80.79939670559997,142.23824126283313,14,902.4040540155524,11
35,83.81376595342067,57.3280333383139,17,115.23414415860064,8
36,55.51152266096301,-55.876705684366854,2,894.0847841774864,11
37,-35.16952154879328,141.71351367257307,31,205.2802499534123,2
38,-72.4190194788509,-75.05390586557075,19,739.532991475052,12
39,33.161944772188235,22.57615560319303,32,731.5605291709651,9
40,-10.772551126871761,-144.09684995620233,28,18.418110323544692,6
41,-68.03311772793981,151.90402684779008,41,228.4176692271517,12
42,-0.8681561799713648,-129.3226352023632,8,496.9894295182186,18
43,-83.81006619926069,-99.03714993705339,42,425.83435959664934,5
