customer_id,session_count,avg_session_duration,pages_per_session,purchase_conversion_rate,cart_abandonment_rate,time_of_day_most_active,preferred_device,geographic_location
1,52,42.4371737857627,17.259402083610073,0.9662083329442364,0.11997241723147611,1,1,0
2,93,51.26618595979466,17.62048795184776,0.13628890483689227,0.15886056605782994,0,0,0
3,15,22.03992585958878,12.043978729966565,0.7547001764113983,0.3172392488340219,2,2,1
4,72,16.422441677063297,10.966337247635689,0.3303427941732814,0.3010287786679122,3,2,2
5,61,56.84931579392198,16.51251279945486,0.2903579876237623,0.06608103825573175,0,0,0
6,21,43.85190652176026,15.23736841609313,0.2707773958992653,0.15347150956920685,1,1,2
7,83,13.961245869173753,8.60617848322798,0.34878155322289095,0.8562302835667795,2,1,1
8,87,27.49592016789069,2.572035010266283,0.35711705959360607,0.5890448379817035,2,2,4
9,75,47.990654402730755,15.601502039892779,0.27074700518197137,0.3422829927796416,0,2,0
10,75,33.276716464188084,4.205319549864631,0.6674931477734759,0.5264778978633755,3,1,2
11,88,39.347173791787455,1.3111612230910885,0.04772198370024938,0.26131339157828903,0,0,2
12,24,45.47232392065809,17.022750828875825,0.3322938058058842,0.583842317347175,2,0,3
13,3,37.69854213972985,11.986823061397654,0.2802056068360693,0.07463088323589862,3,1,2
14,22,32.86467999340955,17.94165467517941,0.7514180205498701,0.9026506989645513,0,0,2
15,53,45.22724277887863,10.207173580754743,0.14649854401955298,0.24044658468361468,0,2,1
16,2,43.92621909049984,18.603140913516658,0.9406871420972328,0.8190755019376128,1,1,2
17,88,38.16247161080756,7.725463211598411,0.17051861204515495,0.6599988663245172,2,0,3
18,30,22.227575389533847,14.765918044351565,0.3700273640635512,0.5230069424233339,1,0,4
19,38,24.942913439816024,6.7187436759738866,0.1997001934391226,0.9297964607177956,1,2,3
20,2,58.25587438416175,1.0221096222315902,0.28669794347209054,0.15681318032115366,3,2,4
21,64,7.630770005200024,8.215146156430178,0.7610247006681249,0.11927747026899971,3,1,0
22,60,16.841790117917284,15.017544749075537,0.47640471873836,0.32186013182343765,2,2,4
23,21,30.051703793055808,3.8504594094837645,0.16257571731025,0.8302212265183548,3,2,4
24,33,50.36705148248336,10.591238630940467,0.04663487864457372,0.03520145619023474,2,1,3
25,76,10.656864160053944,5.034108212163585,0.22991622017027502,0.23940570730933997,3,0,1
26,58,17.34032246935198,2.4178583069629553,0.9456027785260209,0.42470219168666756,1,2,1
27,22,4.8820948499191,12.73158765694201,0.8453167481880334,0.7129409885382083,2,1,4
28,89,42.65313069699829,19.08738482376466,0.44017371592400867,0.2993130676108403,1,2,3
29,49,15.05435669306135,6.903380155640424,0.481995221945983,0.448112446230714,3,2,1
30,91,23.93181028958608,12.032270206839058,0.8993661393789949,0.3368504908711615,1,0,1
31,59,27.178385374750402,19.118463987265095,0.5913453823757353,0.09206025472570234,3,2,3
32,42,53.58752220078088,13.359183649899062,0.8807670651487634,0.7386759848312535,0,2,4
33,92,25.268487129542972,13.789152743889131,0.4918391043523406,0.4613793964444831,1,2,0
34,60,9.568276174999694,4.399641719655882,0.20009761911882595,0.8125121195280964,2,0,3
35,80,31.93458136206714,10.359583898203708,0.725926979942235,0.6946929170541387,1,2,3
36,15,57.814521684269145,7.974572194657686,0.5263933195790126,0.05781520018952668,1,1,3
37,62,36.85345282199785,9.94818019542957,0.6684395799684687,0.5000759004962785,2,1,4
38,62,59.01984600717378,16.215704952395665,0.15723091669949463,0.9908556236153736,2,0,4
39,47,50.62533122739333,9.753280767175868,0.6476018019189457,0.30787026186594146,0,0,3
40,62,3.1219796165913554,2.1941628868988667,0.3822571474051205,0.4929581004896423,3,0,1
41,51,39.84557612724547,18.205291561866396,0.3319977528111959,0.6520324436740403,3,2,0
42,55,17.919245775915137,11.351501861587442,0.6714755410726021,0.2022656003798956,2,0,2
43,64,34.01739448303871,18.565392812075547,0.5922391132609566,0.7025072103650418,1,1,3
44,3,17.481366264942366,11.874735728524865,0.6491074289367045,0.6597766764416793,3,1,3
45,51,21.583354579712132,2.3230900035261515,0.9653330642314912,0.3749604667194877,2,2,4
46,7,55.46695399349658,11.504518476989654,0.7011964695694178,0.2844392673130991,2,2,4
47,21,13.191947908610613,11.93903971736093,0.6408989622728906,0.919102701278099,0,2,2
